example_id                                                                         | status  | run_time        |
./spec/smoke/package_spec.rb[1:2:4:1]                                              | passed  | 0.00002 seconds |
./spec/smoke/package_spec.rb[1:2:4:2]                                              | passed  | 0.00038 seconds |
./spec/smoke/package_spec.rb[1:2:4:3]                                              | passed  | 0.00002 seconds |
./spec/smoke/package_spec.rb[1:2:5:1]                                              | passed  | 0.00002 seconds |
./spec/smoke/package_spec.rb[1:2:5:2]                                              | passed  | 0.00002 seconds |
./spec/smoke/package_spec.rb[1:2:5:3]                                              | passed  | 0.00002 seconds |
./spec/smoke/package_spec.rb[1:2:6:1]                                              | passed  | 0.00002 seconds |
./spec/smoke/package_spec.rb[1:2:6:2]                                              | passed  | 0.00002 seconds |
./spec/smoke/package_spec.rb[1:2:6:3]                                              | passed  | 0.00002 seconds |
./spec/smoke/package_spec.rb[1:2:6:4]                                              | passed  | 0.00003 seconds |
./spec/smoke/package_spec.rb[1:3:1]                                                | passed  | 0.00004 seconds |
./spec/smoke/package_spec.rb[1:3:2]                                                | passed  | 0.00002 seconds |
./spec/smoke/package_spec.rb[1:3:3]                                                | passed  | 0.00728 seconds |
./spec/smoke/package_spec.rb[1:4:1]                                                | passed  | 0.00357 seconds |
./spec/smoke/package_spec.rb[1:4:2]                                                | passed  | 0.00064 seconds |
/Users/naamanhirschfeld/workspace/kreuzberg/e2e/ruby/spec/email_spec.rb[1:1]       | passed  | 0.01048 seconds |
/Users/naamanhirschfeld/workspace/kreuzberg/e2e/ruby/spec/html_spec.rb[1:1]        | passed  | 1.95 seconds    |
/Users/naamanhirschfeld/workspace/kreuzberg/e2e/ruby/spec/html_spec.rb[1:2]        | passed  | 0.00031 seconds |
/Users/naamanhirschfeld/workspace/kreuzberg/e2e/ruby/spec/image_spec.rb[1:1]       | passed  | 0.0027 seconds  |
/Users/naamanhirschfeld/workspace/kreuzberg/e2e/ruby/spec/ocr_spec.rb[1:1]         | passed  | 0.04721 seconds |
/Users/naamanhirschfeld/workspace/kreuzberg/e2e/ruby/spec/ocr_spec.rb[1:2]         | passed  | 0.04402 seconds |
/Users/naamanhirschfeld/workspace/kreuzberg/e2e/ruby/spec/ocr_spec.rb[1:3]         | passed  | 3.41 seconds    |
/Users/naamanhirschfeld/workspace/kreuzberg/e2e/ruby/spec/ocr_spec.rb[1:4]         | passed  | 0.34493 seconds |
/Users/naamanhirschfeld/workspace/kreuzberg/e2e/ruby/spec/ocr_spec.rb[1:5]         | passed  | 0.33223 seconds |
/Users/naamanhirschfeld/workspace/kreuzberg/e2e/ruby/spec/office_spec.rb[1:1]      | passed  | 2.74 seconds    |
/Users/naamanhirschfeld/workspace/kreuzberg/e2e/ruby/spec/office_spec.rb[1:2]      | passed  | 0.00021 seconds |
/Users/naamanhirschfeld/workspace/kreuzberg/e2e/ruby/spec/office_spec.rb[1:3]      | passed  | 0.00035 seconds |
/Users/naamanhirschfeld/workspace/kreuzberg/e2e/ruby/spec/office_spec.rb[1:4]      | passed  | 0.00021 seconds |
/Users/naamanhirschfeld/workspace/kreuzberg/e2e/ruby/spec/office_spec.rb[1:5]      | passed  | 0.0003 seconds  |
/Users/naamanhirschfeld/workspace/kreuzberg/e2e/ruby/spec/office_spec.rb[1:6]      | passed  | 0.00027 seconds |
/Users/naamanhirschfeld/workspace/kreuzberg/e2e/ruby/spec/office_spec.rb[1:7]      | passed  | 0.00023 seconds |
/Users/naamanhirschfeld/workspace/kreuzberg/e2e/ruby/spec/office_spec.rb[1:8]      | passed  | 0.00016 seconds |
/Users/naamanhirschfeld/workspace/kreuzberg/e2e/ruby/spec/office_spec.rb[1:9]      | passed  | 2.65 seconds    |
/Users/naamanhirschfeld/workspace/kreuzberg/e2e/ruby/spec/office_spec.rb[1:10]     | passed  | 0.0003 seconds  |
/Users/naamanhirschfeld/workspace/kreuzberg/e2e/ruby/spec/office_spec.rb[1:11]     | passed  | 0.0002 seconds  |
/Users/naamanhirschfeld/workspace/kreuzberg/e2e/ruby/spec/office_spec.rb[1:12]     | passed  | 0.00984 seconds |
/Users/naamanhirschfeld/workspace/kreuzberg/e2e/ruby/spec/office_spec.rb[1:13]     | passed  | 0.00096 seconds |
/Users/naamanhirschfeld/workspace/kreuzberg/e2e/ruby/spec/office_spec.rb[1:14]     | passed  | 0.00115 seconds |
/Users/naamanhirschfeld/workspace/kreuzberg/e2e/ruby/spec/office_spec.rb[1:15]     | passed  | 0.00038 seconds |
/Users/naamanhirschfeld/workspace/kreuzberg/e2e/ruby/spec/office_spec.rb[1:16]     | passed  | 0.00448 seconds |
/Users/naamanhirschfeld/workspace/kreuzberg/e2e/ruby/spec/pdf_spec.rb[1:1]         | passed  | 0.99668 seconds |
/Users/naamanhirschfeld/workspace/kreuzberg/e2e/ruby/spec/pdf_spec.rb[1:2]         | passed  | 4.11 seconds    |
/Users/naamanhirschfeld/workspace/kreuzberg/e2e/ruby/spec/pdf_spec.rb[1:3]         | passed  | 0.00451 seconds |
/Users/naamanhirschfeld/workspace/kreuzberg/e2e/ruby/spec/pdf_spec.rb[1:4]         | passed  | 0.07588 seconds |
/Users/naamanhirschfeld/workspace/kreuzberg/e2e/ruby/spec/pdf_spec.rb[1:5]         | passed  | 0.00339 seconds |
/Users/naamanhirschfeld/workspace/kreuzberg/e2e/ruby/spec/pdf_spec.rb[1:6]         | passed  | 0.00238 seconds |
